X;Y
-113.794593;60.11154578
-63.45427148;57.04878067
-79.80545101;34.94307327
-106.3539012;71.26167896
-99.95727936;75.28087931
-88.68381165;54.02654631
-94.13893563;71.37411013
-129.3561815;55.88344375
-100.527792;43.51291007
-109.1430693;47.24448776
-82.48005586;77.43869534
-25.79354278;72.74172864
-91.74303763;40.44198361
-97.27480672;63.79053081
-72.62911559;47.9518105
-62.03866746;51.77825532
-143.5881223;64.25977237
-65.99923126;78.46634406
-26.69801459;79.97178507
-65.23013547;48.66211383
-103.8058636;67.71100249
-117.9000418;52.07529521
-87.70126646;14.74199435
-46.0544926;71.05093003
-97.11396342;49.66897834
-116.5511482;67.29348482
-77.40158574;39.87987938
-72.48944584;65.92748505
-122.0015734;54.59561358
-32.87633874;76.70367859
-77.55946617;8.686850971
-114.1826138;36.01922562
-61.67691954;45.16637209
-106.733048;58.26768998
-90.51784915;48.9272798
-75.48559359;71.93350861
-140.5807563;66.95300961
-91.85890843;16.4151303
-44.46344433;81.76110493
-39.57850615;74.6059445
-99.75869276;24.62120481
-81.92748719;72.5268665
-70.88868541;53.72951037
-85.35617672;67.37314465
-109.1915774;32.37963982
-99.76969218;31.08464356
-18.40935012;80.91177674
-81.51185406;26.01343449
-85.16369339;40.01966846
-42.85702335;66.20374624
-90.90087115;31.8070421
-110.1712507;66.26465361
-122.4759362;63.07403965
-75.5340105;51.74573327
-90.57483803;79.69845857
-77.33842667;21.45891173
-84.94620631;50.73122773
-44.3925221;61.98590785
-38.88903649;79.56664691
-37.58703818;68.49838457
-140.3043477;60.97680233
-137.4069239;64.51717676
-110.4368531;41.07555234
-123.5925762;73.7101252
-45.79971234;75.37135891
-80.03720399;44.16125659
-129.4185528;69.7152503
-96.70951884;45.57917036
-86.51600371;81.50560028
-105.1393531;28.39832273
-88.32323512;43.22642625
-59.05760491;54.53271587
-110.5804205;52.5803967
-53.79538157;75.70222756
-71.30518409;17.94233356
-99.31794718;36.02262761
-113.0617984;44.60129237
-122.6537716;47.07144583
-107.9262952;36.73375783
-132.2069215;62.46896603
-84.57126418;45.88662349
-163.499099;65.53578448
-119.3725496;39.46194899
-76.48020567;59.86295071
-102.2166549;20.86619339
-134.1520281;67.51674164
-101.4192372;56.27315161
-85.62334491;34.05038226
-103.2000775;34.81638828
-109.8059354;74.87699354
-96.08250645;28.90087686
-71.93832574;42.70336879
-33.43323647;71.64324645
-154.8246636;58.2507913
-112.238126;69.80083655
-59.63747863;78.85434928
-106.4907171;23.88764945
-114.5244992;49.68133694
-91.54718409;36.15526139
-151.3062334;61.58560289
-89.49078628;69.06237824
-156.0132327;64.9571008
-76.60900776;81.01687153
-87.57608153;73.41294442
-93.05838113;66.56905255
-106.2911014;53.70770895
-88.05863264;20.65091635
-94.76961071;33.23596319
-70.01970364;70.48309904
-13.35476615;81.30825267
-159.9603212;68.8692508
-31.68648977;80.69149652
-84.56426252;11.30015667
-148.5594774;68.81985587
-102.6665717;49.30999649
-127.1128604;65.65943461
-160.8798671;61.96751826
-71.91307728;59.65860805
-126.3619717;49.5341898
-160.3780729;55.27568256
-69.43864675;82.87735579
-165.770561;61.7072099
-116.7986645;76.62838655
-103.0282943;61.00257631
-93.64116289;57.64534183
-52.20500434;70.33838353
-22.16344267;75.48574401
-48.26166205;78.85246206
-58.36142102;48.98872904
-121.9920772;67.84200305
-67.76138321;45.07637967
-95.92473879;41.42111578
-76.86984021;65.38372697
-115.3224059;72.42883415
-80.4551604;49.97637846
-128.3222765;60.18339036
-153.6285006;69.6793326
-102.812423;78.58063639
-99.69990943;17.04191473
-105.3851069;41.32659215
-55.81535102;81.42660963
-76.05885421;45.00225111
-64.43744278;66.4841617
-109.0488916;61.57688794
-151.4945514;65.89184905
-113.408193;28.3231655
-28.53347509;75.70533371
-83.2193555;29.8639773
-94.6583164;80.11354175
-22.72248979;81.84100941
-133.2338215;57.47618851
-63.1675426;82.42080526
-50.05802819;82.46423603
-49.33509991;66.74655494
-116.7552349;31.9739271
-84.14124005;22.06715133
-72.45510768;79.95593186
-143.9592393;69.21482781
-118.8028415;60.01013626
-123.4136334;42.45092215
-98.14431506;58.9792626
-97.1943625;54.92178821
-115.2968433;40.80855158
-147.6088226;63.71533943
-53.95164538;48.49440404
-79.01774438;55.96433558
-135.8428498;60.61472976
-27.3310431;69.04813396
-95.81444846;18.33716891
-118.3220373;47.07170678
-109.2441988;27.6348935
-98.44381811;69.50757507
-67.70393741;63.83644184
-114.578664;55.92737694
-124.2672702;59.38543523
-118.8158373;35.44930485
-66.72202764;52.85980671
-131.4892323;52.38244293
-48.62463903;61.82225571
-65.99060886;18.32620773
-81.87593881;63.85536444
-68.0392587;58.06808659
-49.71554947;74.18315744
-94.0338045;52.45806441
-102.0590545;38.98969816
-69.13781242;12.29321757
-81.97520883;82.60149063
-82.96836446;54.97621568
-41.17841593;70.44837953
-88.53031249;64.08391599
-21.66286957;70.89941433
-94.89252813;76.05739982
-119.5830825;72.54814051
-172.3404465;52.30383172
-61.29313371;10.65023454
-78.60712779;69.29798413
-165.9572938;54.11289338
-61.06517204;14.74597797
-35.21136915;82.9311158
-33.69821112;67.27471569
-171.3406347;63.49540029
-77.20938875;26.24745704
-105.8611718;75.78853672
-104.6709848;45.54819903
-110.7298952;23.89110294
-93.0573128;62.40937947
-57.91863555;75.16594033
-72.00060149;21.94178117
-92.32696303;44.55771832
