Y;X
62.85841216;42.74558874
36.41686495;-76.28089976
42.77851979;121.3096874
58.71164731;-112.2406474
13.48721229;6.121808271
-19.81414876;28.74153162
-86.00013244;-2.543318201
-28.01655033;21.64192783
12.01712331;77.29348163
65.97098588;146.8299173
-72.73096344;79.76783928
63.53618895;16.69325967
77.65458302;-69.19863267
69.81789075;22.75313014
60.10801601;-156.142507
22.49810607;-16.33487212
-81.32544889;112.3924972
-6.248705959;25.09068636
-87.34716318;88.8973538
-89.43325964;-128.7440301
6.486715554;-76.58110365
27.27039732;94.6095488
34.46687834;132.1522837
62.83051904;129.2114486
27.01698854;-100.7679241
24.81301814;115.7036036
-88.58549475;102.1247654
-26.90813038;141.7273267
67.09341371;84.8735272
39.91160065;-3.277156623
52.1128177;90.20574836
-11.51005826;-48.87728152
41.24132339;-97.13844512
-72.11002687;165.6168866
37.11036023;-97.33035102
37.41737256;21.93011569
28.83522491;118.7653995
-86.16336529;-53.99438709
74.69140386;-33.33209948
-78.92602228;-3.606224648
72.15063276;83.32719884
48.72223384;-78.49773505
-88.14815673;-63.1273073
-85.7633458;-177.0484413
51.29392997;76.37266961
63.96212313;48.05725102
51.53730714;-108.1029222
41.46422579;69.03727519
-17.91419539;15.83746168
64.56778484;65.13167244
-79.65399911;63.98884686
-87.07632344;127.7037136
22.84830977;43.7997614
53.24454002;83.47918948
56.39926817;-100.0357305
-4.482575937;139.552052
61.10430663;21.58959294
2.643539568;35.95864999
-72.07775652;-1.045769606
3.501735033;22.05521031
-80.11297031;137.837008
2.250697927;-74.90256013
42.64163571;100.5346564
-79.39343719;74.04833468
-13.59404808;131.1821905
30.91793371;-93.63671694
-3.715157084;12.05140915
19.10342987;-99.31467908
25.11080299;-9.287442672
68.75075591;133.9595245
39.51021174;34.87716113
40.38186054;90.66509848
-71.47820528;157.5890304
-35.37844529;173.3824341
57.90655848;29.16499862
-6.530476451;-72.28201818
35.08689887;67.18951435
36.42789173;88.59415353
62.27736671;171.9143001
45.8537147;85.99300992
8.668304676;46.79604743
-22.30126048;-44.33327306
29.39194752;70.60126325
18.31987151;80.26102126
36.26909936;-90.134265
-70.43644352;93.54664967
49.32047731;26.01635828
47.01466311;-105.4327887
68.32607098;-50.41532887
26.18436526;6.122763044
70.73638699;109.1164793
-24.96950779;-59.66158351
-84.23294325;138.2909075
-14.23949152;20.20382784
-32.18848935;25.99893902
33.06063986;42.43009924
36.55523835;6.014928328
56.93420283;59.09043955
29.42041648;105.2637495
-76.76443482;146.2925608
-24.1710493;46.72901581
-32.03841267;-60.10462711
-85.18441915;-94.25817592
30.33614815;28.45026757
-80.65259581;-121.3097439
58.27293565;-94.8845745
60.05011015;-133.7091038
-88.78705162;-11.4950505
-85.10759871;41.13984639
57.50359506;-71.86973403
-3.408421823;39.80436731
-77.4954719;15.9351833
28.77381359;17.77457199
57.12101847;51.0157242
-73.37022392;125.4084357
80.75214727;-87.32187614
65.62675331;-45.25992373
66.48153755;-142.9302704
81.45393451;-73.91770418
12.45206131;-9.037781542
79.110976;17.4026258
40.45626301;124.8821997
71.24321016;73.71216126
62.85872582;89.26737139
-16.04806137;45.29020246
34.83278998;101.986962
-39.15429441;-71.08474267
-83.87911899;-30.26684533
-29.15850629;28.63654216
64.70196913;159.3370432
51.26314565;-73.68706829
-80.98649828;160.0493996
-83.49818607;-89.07158952
-74.9981425;90.6825006
71.62075176;68.57462705
-74.30619391;10.10660257
-73.97326472;61.45597691
48.76055926;34.99170688
-75.96082779;-129.535883
80.80789508;-63.05969775
50.93113164;112.7966007
20.04172998;-3.346723712
-74.68753875;117.7718599
48.05528196;-118.0236211
60.33497896;101.4099245
-87.47043257;-168.9070511
-5.503665246;-67.43973532
-79.03419556;-153.162968
